datetime,events,distance(KM)
20180524112204,0,-1
20180524112205,0,-1
20180524112206,0,-1
20180524112208,0,-1
20180524112209,0,-1
20180524112210,0,-1
20180524112211,0,-1
20180524112212,0,-1
20180524112213,0,-1
20180524112214,0,-1
20180524112215,0,-1
20180524112216,0,-1
20180524112217,0,-1
20180524112218,0,-1
20180524112219,0,-1
20180524112220,0,-1
20180524112221,0,-1
20180524112222,0,-1
20180524112223,0,-1
20180524112224,0,-1
20180524112225,0,-1
20180524112226,0,-1
20180524112228,0,-1
20180524112229,0,-1
20180524112230,0,-1
20180524112231,0,-1
20180524112232,0,-1
20180524112233,0,-1
20180524112234,0,-1
20180524112235,0,-1
20180524112236,0,-1
20180524112237,0,-1
20180524112238,0,-1
20180524112239,0,-1
20180524112240,0,-1
20180524112241,0,-1
20180524112242,0,-1
20180524112243,0,-1
20180524112244,0,-1
20180524112245,0,-1
20180524112246,0,-1
20180524112248,0,-1
20180524112249,0,-1
20180524112250,0,-1
20180524112251,0,-1
20180524112252,0,-1
20180524112253,0,-1
20180524112254,0,-1
20180524112255,0,-1
20180524112256,0,-1
20180524112257,0,-1
20180524112258,0,-1
20180524112259,0,-1
20180524112300,0,-1
20180524112301,0,-1
20180524112302,0,-1
20180524112303,0,-1
20180524112304,0,-1
20180524112305,0,-1
20180524112307,0,-1
20180524112308,0,-1
20180524112309,0,-1
20180524112310,0,-1
20180524112311,0,-1
20180524112312,0,-1
20180524112313,0,-1
20180524112314,0,-1
20180524112315,0,-1
20180524112316,0,-1
20180524112317,0,-1
20180524112318,0,-1
20180524112319,0,-1
20180524112320,0,-1
20180524112321,0,-1
20180524112322,0,-1
20180524112323,0,-1
20180524112324,0,-1
20180524112325,0,-1
20180524112326,0,-1
20180524112328,0,-1
20180524112329,0,-1
20180524112330,0,-1
20180524112331,0,-1
20180524112332,0,-1
20180524112333,0,-1
20180524112334,0,-1
20180524112335,0,-1
20180524112336,0,-1
20180524112337,0,-1
20180524112338,0,-1
20180524112339,0,-1
20180524112340,0,-1
20180524112341,0,-1
20180524112342,0,-1
20180524112343,0,-1
20180524112344,0,-1
20180524112345,0,-1
20180524112346,0,-1
20180524112348,0,-1
20180524112349,0,-1
20180524112350,0,-1
20180524112351,0,-1
20180524112352,0,-1
20180524112353,0,-1
20180524112354,0,-1
20180524112355,0,-1
20180524112356,0,-1
20180524112357,0,-1
20180524112358,0,-1
20180524112359,0,-1
20180524112400,0,-1
20180524112401,0,-1
20180524112402,0,-1
20180524112403,0,-1
20180524112404,0,-1
20180524112405,0,-1
20180524112406,0,-1
20180524112407,0,-1
20180524112409,0,-1
20180524112410,0,-1
20180524112411,0,-1
20180524112412,0,-1
20180524112413,0,-1
20180524112414,0,-1
20180524112415,0,-1
20180524112416,0,-1
20180524112417,0,-1
20180524112418,0,-1
20180524112419,0,-1
20180524112420,0,-1
20180524112421,0,-1
20180524112422,0,-1
20180524112423,0,-1
20180524112424,0,-1
20180524112425,0,-1
20180524112426,0,-1
20180524112427,0,-1
20180524112428,0,-1
20180524112430,0,-1
20180524112431,0,-1
20180524112432,0,-1
20180524112433,0,-1
20180524112434,0,-1
20180524112435,0,-1
20180524112436,0,-1
20180524112437,0,-1
20180524112438,0,-1
20180524112439,0,-1
20180524112440,0,-1
20180524112441,0,-1
20180524112442,0,-1
20180524112443,0,-1
20180524112444,0,-1
20180524112445,0,-1
20180524112446,0,-1
20180524112447,0,-1
20180524112449,0,-1
20180524112450,0,-1
20180524112451,0,-1
20180524112452,0,-1
20180524112453,0,-1
20180524112454,0,-1
20180524112455,0,-1
20180524112456,0,-1
20180524112457,0,-1
20180524112458,0,-1
20180524112459,0,-1
20180524112500,0,-1
20180524112501,0,-1
20180524112502,0,-1
20180524112503,0,-1
20180524112504,0,-1
20180524112505,0,-1
20180524112506,0,-1
20180524112507,0,-1
20180524112508,0,-1
20180524112510,0,-1
20180524112511,0,-1
20180524112512,0,-1
20180524112513,0,-1
20180524112514,0,-1
20180524112515,0,-1
